ID, JOB_ID, J_TASK_ID, MI, RAM, STORAGE, PRIORITY, A_TIME, D_TIME
592,13,9,5775794,3427,220,1,299,595
2821,71,10,5969739,3904,256,1,351,1443632
630,13,47,7614479,2985,246,1,363,670
617,13,34,6521737,3144,196,1,363,1955347
585,13,2,4584136,3927,123,1,363,1269319
584,13,2,4584136,3927,123,1,363,1269319
645,13,62,6707541,3853,192,1,387,1484805
643,13,60,7094748,2935,193,1,387,752
689,14,33,7000881,2220,165,1,390,1859832
688,14,32,6578850,3819,73,1,390,888
686,14,30,8934083,380,356,1,390,881
684,14,28,8909403,2956,378,1,390,825
670,14,14,8904932,3995,44,1,390,1962346
664,14,8,8301093,3110,323,1,390,2203406
633,13,50,6839813,489,236,1,397,1962133
629,13,46,5537051,2722,329,1,397,809
598,13,15,7620015,962,96,1,397,690
590,13,7,7973789,2600,37,1,397,1683157
687,14,31,8651536,261,238,1,400,851
649,13,66,7120210,3890,179,1,402,826
637,13,54,8745065,1554,43,1,402,1987189
620,13,37,6582886,2748,288,1,402,1493350
605,13,22,6576302,2473,120,1,402,1939693
602,13,19,4746954,670,104,1,402,966247
640,13,57,6774591,1564,144,1,410,764
639,13,56,6197040,652,282,1,410,1415411
638,13,55,5874333,3334,142,1,410,764
623,13,40,5640224,425,101,1,410,745
615,13,32,4862892,3905,233,1,410,1248937
613,13,30,5320818,3161,179,1,410,721
591,13,8,6788179,2967,2,1,410,713
588,13,5,8630951,1981,117,1,410,1788790
587,13,4,4986575,769,148,1,410,1419666
586,13,3,6766244,328,32,1,410,703
653,13,70,4694657,263,33,1,432,886
627,13,44,5100745,329,259,1,432,1087856
626,13,43,6458793,2157,119,1,432,1574684
614,13,31,8994043,32,58,1,432,821
611,13,28,7353695,931,230,1,432,1997902
2826,71,15,4701118,3342,263,1,439,861
2828,71,17,7649242,3432,400,1,449,946
2818,71,7,7584592,1410,251,1,449,1997345
2816,71,5,6751115,1790,316,1,449,800
2814,71,3,4552491,3319,39,1,449,791
2824,71,13,7071257,3825,122,1,454,866
2829,72,0,5785783,1356,274,1,455,1251314
2823,71,12,8115706,1564,245,1,462,881
2815,71,4,5432144,120,156,1,462,808
2825,71,14,7612194,3973,287,1,484,835
2819,71,8,5040455,3895,354,1,484,1089262
482,10,0,8780101,1049,148,4,487,2606741
447,9,6,7326500,320,347,1,487,1541704
446,9,5,6957259,2180,84,1,487,1880194
475,9,34,8547478,3519,164,1,497,2228614
466,9,25,8014300,2977,47,1,497,999
458,9,17,6930315,3305,261,1,497,1477399
453,9,12,7367179,3658,72,1,497,1884202
659,14,3,5504880,2648,278,1,498,892
695,14,39,5935747,2776,92,1,503,1150
694,14,38,8283553,3552,193,1,503,1120
676,14,20,7294867,2004,210,1,503,2143599
663,14,7,4823834,1646,206,1,503,1407753
683,14,27,8386726,1293,65,1,511,1022
675,14,19,8850644,2649,343,1,533,2335091
665,14,9,5567057,1386,259,1,533,933
661,14,5,7093272,3043,129,1,533,1573104
660,14,4,5945781,1224,338,1,533,1730223
2887,74,27,8924838,912,322,1,534,2390699
2886,74,26,4533575,3188,286,1,534,1144039
2884,74,24,7945350,2620,150,1,534,1120
2882,74,22,5995987,856,59,1,534,1170
2862,74,2,6058531,455,188,1,534,1060
2861,74,2,6058531,455,188,1,534,1060
718,15,22,7948223,3299,242,1,553,1122
713,15,17,7209046,3228,320,1,553,1115
707,15,11,8411145,3739,19,1,553,1701095
702,15,6,6049156,766,207,1,553,1296017
655,13,72,6782815,1440,211,1,554,1745789
654,13,71,8520036,1665,315,1,554,993
650,13,67,8713977,2518,200,1,554,1773142
648,13,65,7926547,3436,376,1,554,1668561
647,13,64,8284394,3268,337,1,554,1782920
644,13,61,6400573,1330,301,1,554,1767917
642,13,59,7159431,3549,121,1,554,899
641,13,58,5120641,3984,169,1,554,1291331
636,13,53,8681128,1768,242,1,554,858
635,13,52,6882482,3473,50,1,554,850
634,13,51,6106833,1035,273,1,554,918
632,13,49,6840558,1317,362,1,554,886
631,13,48,7503123,3458,218,1,554,1787559
628,13,45,8653351,3493,29,1,554,895
625,13,42,5290518,411,320,1,554,874
622,13,39,6013174,3823,345,1,554,1352406
621,13,38,7682219,3375,385,1,554,1972664
619,13,36,6677275,3127,31,1,554,855
618,13,35,5666525,3315,374,1,554,1553569
612,13,29,8663416,1619,306,1,554,932
610,13,27,7986261,2543,7,1,554,2358185
608,13,25,5887955,743,31,1,554,1764844
607,13,24,5711124,1695,140,1,554,1592812
606,13,23,8352951,270,187,1,554,880
604,13,21,4607522,1242,75,1,554,1027983
603,13,20,8971041,252,347,1,554,852
601,13,18,7606548,781,47,1,554,860
600,13,17,7460694,1299,261,1,554,1531412
597,13,14,5207913,462,217,1,554,852
596,13,13,7191278,2888,315,1,554,856
595,13,12,6398257,532,86,1,554,1378568
593,13,10,5470427,3908,307,1,554,1484757
589,13,6,6301682,3057,228,1,554,851
478,9,37,4751237,973,14,1,561,1274841
450,9,9,4639397,1649,5,1,561,1049
480,9,39,6511255,2216,220,1,585,1191
476,9,35,6318688,3437,310,1,585,1317940
443,9,2,8774679,119,91,1,585,1079
442,9,2,8774679,119,91,1,585,1079
474,9,33,7321136,2627,223,1,595,1139
471,9,30,4867208,2313,328,1,595,1412277
467,9,26,7507693,2410,233,1,595,1131
451,9,10,5293564,2957,361,1,595,1094
2881,74,21,7966279,1862,298,1,598,1165
472,9,31,8611909,1033,49,1,600,1793968
465,9,24,7671635,3534,68,1,600,1112
462,9,21,8143728,2175,217,1,600,1107
479,9,38,7654829,3730,190,1,608,1875217
464,9,23,8776802,1036,306,1,608,1113
444,9,3,5523572,2954,3,1,608,1566590
729,15,33,5072331,3879,76,1,617,1229
724,15,28,5021948,2810,230,1,617,1467717
720,15,24,6419137,1304,117,1,617,1839142
477,9,36,7802789,818,91,1,630,1174
473,9,32,6330781,3805,148,1,630,1430064
469,9,28,8893247,398,312,1,630,1131
460,9,19,6617480,103,356,1,630,1129
452,9,11,4739048,1372,199,1,630,1120
2877,74,17,4554613,3969,302,1,632,1196
2872,74,12,8071005,199,344,1,632,2274855
2870,74,10,8469290,53,133,1,632,1725140
2869,74,9,5734077,2066,68,1,632,1168
2868,74,8,8510203,1696,48,1,632,1756464
2889,75,0,4852689,2539,48,5,637,1078235
2879,74,19,6060373,2973,61,1,637,1211
2878,74,18,5959287,3307,310,1,637,1405400
2867,74,7,8617778,3384,80,1,637,1952653
2865,74,5,8017903,2132,103,1,637,1194
2864,74,4,8431687,1121,232,1,637,1170
723,15,27,7300284,727,135,1,641,1207
704,15,8,5430759,3286,52,1,641,1188
2875,74,15,6083777,3923,75,1,645,1175
725,15,29,6732745,815,24,1,651,1804475
656,14,0,5257007,3227,298,1,655,1038
742,16,0,8397398,3353,257,1,656,1877289
740,15,44,7993099,1202,23,1,656,1332
721,15,25,5522465,899,115,1,656,1217
712,15,16,5841102,2853,40,1,656,1709935
2827,71,16,6474790,146,256,1,658,1758329
2822,71,11,5373771,2914,35,1,658,1040
2820,71,9,5419140,2995,235,1,658,1035
2817,71,6,7563582,3176,3,1,658,1004
2813,71,2,7686490,1912,194,1,658,1873085
2812,71,2,7686490,1912,194,1,658,1873085
722,15,26,5654970,1596,249,1,664,1263
2876,74,16,4995846,2119,132,1,667,1295541
738,15,42,5823990,975,96,1,686,1324
737,15,41,5685359,3163,261,1,686,1494116
703,15,7,8433210,3991,268,1,686,1813780
699,15,3,7605313,291,68,1,686,1233
693,14,37,7389423,964,367,1,756,1196
692,14,36,8732335,666,102,1,756,1346
691,14,35,6170949,1165,222,1,756,1463274
690,14,34,8089439,2874,133,1,756,1625551
685,14,29,6947575,1603,314,1,756,1920488
682,14,26,8602664,3705,102,1,756,1223
681,14,25,5375683,3663,274,1,756,1541830
680,14,24,7795451,2150,265,1,756,1166
679,14,23,8440583,2856,156,1,756,2317004
678,14,22,8461205,1744,262,1,756,1156
677,14,21,6787789,890,192,1,756,1382809
674,14,18,5929925,3099,210,1,756,1200272
673,14,17,5551655,429,257,1,756,1189
672,14,16,7938006,2455,156,1,756,1223
671,14,15,4501031,353,253,1,756,1173
669,14,13,7303069,1542,48,1,756,1186
668,14,12,6384332,3801,383,1,756,1160
667,14,11,6655072,654,3,1,756,1154
666,14,10,8557761,2467,335,1,756,2479077
662,14,6,7091768,1845,357,1,756,1151
658,14,2,8592591,3026,398,1,756,1152
657,14,2,8592591,3026,398,1,756,1152
696,15,0,4631301,3714,59,1,909,1444
4181,105,24,8304403,1385,99,1,938,1849641
4176,105,19,8299717,487,362,1,938,1692003
4169,105,12,7001407,1015,139,1,938,1934
4183,105,26,5645243,3258,72,1,948,1268553
4180,105,23,4769131,3411,11,1,948,1897
481,9,40,8118220,829,60,1,950,1598
470,9,29,5505487,1976,294,1,950,1424111
468,9,27,5168732,85,350,1,950,1103459
463,9,22,6798073,2154,90,1,950,1455
461,9,20,8072250,1745,315,1,950,1997108
459,9,18,6347231,1473,205,1,950,1451
457,9,16,4954657,2767,42,1,950,1051536
456,9,15,8093363,3211,254,1,950,2037372
455,9,14,5018866,1006,273,1,950,1331204
454,9,13,7157826,1417,187,1,950,2045017
449,9,8,6769001,3009,385,1,950,1446
448,9,7,5440541,3795,282,1,950,1494448
445,9,4,7155076,3239,347,1,950,1525314
978,23,12,7277574,905,24,1,1014,1946940
2888,74,28,6485566,1736,169,1,1024,1897708
2885,74,25,5632047,3433,106,1,1024,1653
2883,74,23,6806126,2471,103,1,1024,1572
2880,74,20,7955790,2229,338,1,1024,1839632
2874,74,14,7597067,2261,37,1,1024,1612
2873,74,13,8195912,3626,202,1,1024,1655914
2871,74,11,7008378,3008,259,1,1024,1739122
2866,74,6,4817901,801,164,1,1024,990221
2863,74,3,7213690,323,267,1,1024,1555
4184,106,0,6059131,3573,338,2,1036,1390943
4179,105,22,8703608,3052,164,1,1036,2059
4173,105,16,8727253,474,208,1,1046,2029
4170,105,13,8791850,199,371,1,1046,1857999
4182,105,25,7105148,973,334,1,1051,2131
4172,105,15,7297107,1705,143,1,1059,2019
4161,105,4,5799648,2555,123,1,1059,1998
4159,105,2,8233414,2753,166,1,1059,1998
4158,105,2,8233414,2753,166,1,1059,1998
741,15,45,5281871,67,268,1,1062,1072041
739,15,43,8643269,444,43,1,1062,2080840
736,15,40,8410503,3861,395,1,1062,2133874
735,15,39,7075900,974,44,1,1062,1501085
734,15,38,8447580,2645,246,1,1062,1639
733,15,37,4597954,2382,311,1,1062,1610
732,15,36,6396086,2035,188,1,1062,1688
731,15,35,8587540,1210,89,1,1062,1688
730,15,34,5525620,2156,266,1,1062,1148510
728,15,32,6062609,1498,29,1,1062,1677
727,15,31,5589051,3686,206,1,1062,1631
726,15,30,7414622,3204,182,1,1062,1640
719,15,23,6535696,2423,237,1,1062,1606293
717,15,21,8908761,2521,186,1,1062,2096780
716,15,20,5921964,1913,375,1,1062,1600587
715,15,19,6480305,417,317,1,1062,1621515
714,15,18,8729540,1234,137,1,1062,2022810
711,15,15,6328069,2913,326,1,1062,1520469
710,15,14,5039362,2379,269,1,1062,1170745
709,15,13,5372816,701,3,1,1062,1635
708,15,12,6656009,3168,245,1,1062,1624
706,15,10,4762363,201,197,1,1062,1605
705,15,9,8935122,2380,19,1,1062,1608
701,15,5,5412131,2587,327,1,1062,1619
700,15,4,8414499,417,351,1,1062,1616
698,15,2,5607836,2673,124,1,1062,1380168
697,15,2,5607836,2673,124,1,1062,1380168
986,23,20,7724526,1947,287,1,1102,1857956
987,23,21,5228067,3988,399,1,1147,2265
981,23,15,7023230,32,278,1,1147,1847273
971,23,5,8562194,1640,126,1,1147,2164
3238,84,7,8436444,2979,396,1,1304,2610
3235,84,4,8531414,3168,200,1,1304,2519641
3233,84,2,4536391,1050,276,1,1314,2613
3232,84,2,4536391,1050,276,1,1314,2613
1941,47,16,7876778,2994,224,1,1321,2685
3733,94,40,8647244,1208,229,1,1329,2736
1982,47,57,7511060,250,345,1,1331,1931789
1977,47,52,5647087,745,212,1,1331,1209992
1970,47,45,8227722,1463,73,1,1331,1648799
1957,47,32,6708007,3156,390,1,1331,1790260
1955,47,30,8273611,982,269,1,1331,1818419
1937,47,12,8370428,3732,271,1,1331,2329916
3715,94,22,5477437,3127,47,1,1339,1522636
3700,94,7,4899165,3799,244,1,1339,2670
3249,84,18,4858144,2681,28,1,1378,2820
1964,47,39,6147518,1814,222,1,1395,1610505
1944,47,19,7004247,1838,57,1,1395,2725
3247,84,16,5107812,2390,173,1,1412,1293898
1939,47,14,6867343,2321,53,1,1419,1653446
1932,47,7,4677166,3343,248,1,1419,938512
3245,84,14,8364560,2072,17,1,1425,2768
3240,84,9,4785372,3956,379,1,1425,1327985
3237,84,6,7574226,91,177,1,1425,1946762
1971,47,46,7442929,2112,26,1,1429,2791
1952,47,27,7628142,3977,360,1,1429,2753
1945,47,20,7449504,3488,158,1,1429,2765
3611,92,16,6809360,29,10,1,1434,2872
1979,47,54,5910308,1304,21,1,1434,2971
1978,47,53,6503462,1885,92,1,1434,2757
1975,47,50,4510231,3823,239,1,1434,2929
1965,47,40,5585041,1529,108,1,1434,1419354
1961,47,36,7778563,2529,192,1,1434,2772
1946,47,21,6343981,2777,217,1,1434,1305027
3723,94,30,4785234,836,152,1,1437,1022942
3719,94,26,6523225,1471,259,1,1437,2765
3726,94,33,8382871,3723,293,1,1442,2358871
3721,94,28,7587528,1080,99,1,1442,1584250
3709,94,16,4802331,2065,180,1,1442,1374659
1984,48,0,5035491,1600,138,3,1442,6059
1949,47,24,5394178,3489,54,1,1442,1565576
1943,47,18,5239311,3726,328,1,1442,1570808
3606,92,11,6316741,3879,218,1,1444,1338983
3597,92,2,6944601,3030,142,1,1444,2877
3596,92,2,6944601,3030,142,1,1444,2877
3234,84,3,5619169,583,58,1,1447,1173234
3716,94,23,4713546,3319,378,1,1450,2866
3713,94,20,5031846,1971,305,1,1450,2820
3712,94,19,4619192,3296,397,1,1450,1164128
3702,94,9,7935342,3721,144,1,1450,2193962
1981,47,56,7066178,1880,321,1,1464,2928
1967,47,42,6991951,225,74,1,1464,2905
1963,47,38,7285720,786,164,1,1464,2158634
1959,47,34,8059416,488,391,1,1464,1632352
1938,47,13,8016293,3712,228,1,1464,1892444
1927,47,2,7403875,727,265,1,1464,2784
1926,47,2,7403875,727,265,1,1464,2784
3217,83,10,8708209,159,234,1,1488,2945
3207,83,0,6905144,2237,149,1,1501,2909
3229,83,22,8225309,403,32,1,1512,1907139
3222,83,15,8980706,2440,385,1,1512,2314481
3220,83,13,7032746,304,294,1,1512,2931
3218,83,11,6927846,3545,255,1,1522,1432804
3213,83,6,7416845,359,328,1,1522,1954709
3227,83,20,7160778,2856,274,1,1527,1518971
3598,92,3,8328027,743,226,1,1532,2326489
3230,83,23,5867188,487,178,1,1535,3082
3603,92,8,7836087,1133,325,1,1542,2192729
3602,92,7,4804253,2475,324,1,1542,1352347
3613,92,18,7849839,3096,363,1,1547,3015
3600,92,5,5739001,2392,171,1,1547,1486506
3618,92,23,8722543,3031,169,1,1555,2200370
3228,83,21,7328349,2576,109,1,1557,1978584
3225,83,18,6864709,1809,224,1,1557,1583240
3617,92,22,7832522,448,349,1,1577,1989221
3609,92,14,7626111,1663,233,1,1577,3069
80,1,58,7612271,3241,386,1,1680,2162142
60,1,38,7308489,2390,199,1,1680,3370
52,1,30,8951303,3469,279,1,1680,1923588
35,1,13,8999411,1617,266,1,1680,3403
32,1,10,7472179,3636,115,1,1680,2073918
70,1,48,6620904,1032,231,1,1690,3446
31,1,9,8574355,1041,355,1,1690,3378
24,1,2,6050333,302,59,1,1690,1807527
23,1,2,6050333,302,59,1,1690,1807527
3911,97,76,7707482,462,110,1,1712,3602
3909,97,74,6586728,1586,165,1,1712,3552
3907,97,72,7220634,1900,141,1,1712,1850722
3884,97,49,5702700,1806,90,1,1712,1292970
3868,97,33,5917936,1420,268,1,1712,1558623
3861,97,26,8263175,1052,124,1,1712,3442
3845,97,10,7028534,221,352,1,1712,3432
3840,97,5,6915562,1277,283,1,1712,1417723
3913,98,0,4640065,1441,52,5,1722,9976
3905,97,70,5168817,87,312,1,1722,3552
3891,97,56,8271181,2946,331,1,1722,3455
3887,97,52,5785102,3600,271,1,1722,3449
3853,97,18,6037007,3910,199,1,1722,3447
54,1,32,5576169,3991,337,1,1754,1358583
45,1,23,6196140,1908,317,1,1754,1456330
43,1,21,6983790,1844,392,1,1754,3442
945,22,15,8147804,1973,160,1,1764,3551
938,22,8,8176153,3147,108,1,1764,3541
940,22,10,5531834,1648,291,1,1774,3540
84,1,62,8177832,597,133,1,1778,3616
55,1,33,7805468,1644,104,1,1778,2002309
41,1,19,8084990,1080,388,1,1778,3461
3901,97,66,5730336,1054,117,1,1786,3556
3876,97,41,7869734,261,247,1,1786,3536
3863,97,28,6006792,3505,88,1,1786,3533
79,1,57,7462021,3006,307,1,1788,2141362
61,1,39,4905548,1579,187,1,1788,3512
39,1,17,6864590,2445,343,1,1788,1920166
73,1,51,8752202,1650,67,1,1793,3570
65,1,43,7604235,3132,201,1,1793,3480
59,1,37,4889480,2101,214,1,1793,1057517
56,1,34,8093347,1610,236,1,1793,3487
53,1,31,4569247,3260,32,1,1793,3504
49,1,27,6764351,248,160,1,1793,3481
33,1,11,6209404,3769,272,1,1793,1263470
30,1,8,7153612,420,123,1,1793,3475
86,1,64,4734773,546,207,1,1801,1346083
85,1,63,7618590,568,329,1,1801,3638
82,1,60,7082555,3705,181,1,1801,3620
46,1,24,6972051,1118,356,1,1801,3493
25,1,3,7339026,649,295,1,1801,3483
3903,97,68,4593868,763,31,1,1810,3600
3865,97,30,5945021,906,194,1,1810,3541
787,16,45,6782017,2309,274,1,1818,1866293
780,16,38,4707091,1094,149,1,1818,1182763
776,16,34,5466498,480,143,1,1818,1160234
3898,97,63,5253503,3294,67,1,1820,3613
3897,97,62,8333026,264,377,1,1820,3591
3882,97,47,5910838,2283,309,1,1820,3542
3875,97,40,6414446,1937,375,1,1820,3556
3866,97,31,6172733,1425,397,1,1820,3543
71,1,49,5395098,1835,161,1,1823,1380445
3899,97,64,6300488,1669,240,1,1825,1642124
3892,97,57,7004106,2933,279,1,1825,3587
3885,97,50,8408846,2680,264,1,1825,3605
3869,97,34,6959838,93,264,1,1825,3554
3846,97,11,7930645,1061,62,1,1825,3554
3837,97,2,8651740,1690,149,1,1825,2101096
3836,97,2,8651740,1690,149,1,1825,2101096
786,16,44,8491820,3664,285,1,1828,3755
766,16,24,4882586,1180,122,1,1828,3649
756,16,14,4577976,2039,20,1,1828,3652
754,16,12,8305096,306,118,1,1828,3670
750,16,8,4892213,529,194,1,1828,3649
3890,97,55,6479102,2077,367,1,1833,1773712
3883,97,48,5191142,3375,30,1,1833,1492661
3874,97,39,6569410,2373,234,1,1833,1890984
3849,97,14,7023010,3613,92,1,1833,2091269
3841,97,6,5899418,3278,130,1,1833,1360338
4178,105,21,4573509,3050,361,1,1852,2824
4177,105,20,8368587,2826,168,1,1852,2867
4175,105,18,6291185,1599,325,1,1852,2805
4174,105,17,8554070,865,4,1,1852,2839
4171,105,14,5400526,2969,257,1,1852,2857
4168,105,11,6943397,1543,131,1,1852,2797
4167,105,10,8898495,3622,65,1,1852,2796
4166,105,9,4819394,3803,290,1,1852,2807
4165,105,8,7410269,655,312,1,1852,2162679
4164,105,7,7178065,1347,298,1,1852,2801
4163,105,6,6405899,3030,360,1,1852,2810
4162,105,5,7605825,1393,250,1,1852,2793
4160,105,3,6541130,3815,345,1,1852,2793
3893,97,58,8046787,347,53,1,1855,3620
3878,97,43,5104047,2468,61,1,1855,3617
3860,97,25,4852733,1020,148,1,1855,3586
3859,97,24,7025672,1018,14,1,1855,3581
3857,97,22,6118221,3143,73,1,1855,1276352
3856,97,21,6143449,3220,161,1,1855,1545123
3851,97,16,7870884,3078,178,1,1855,1790587
1908,46,3,6297786,3664,371,1,1864,1334651
947,22,17,8362294,2562,93,1,1872,2186273
1921,46,16,5409553,1718,249,1,1874,3857
1917,46,12,8032096,1562,311,1,1874,2291965
1913,46,8,5659131,463,293,1,1874,3787
934,22,4,7954830,454,208,1,1877,3645
932,22,2,5944577,2883,135,1,1877,1421832
931,22,2,5944577,2883,135,1,1877,1421832
939,22,9,8129824,1471,190,1,1885,3665
767,16,25,6762328,1084,150,1,1892,1742937
764,16,22,4563124,3493,29,1,1892,1306999
962,22,32,5140177,3304,113,1,1907,1304331
953,22,23,5648359,1550,395,1,1907,1578669
789,16,47,6589652,453,246,1,1916,1706476
757,16,15,7825661,806,322,1,1916,1804914
781,16,39,7376579,1465,294,1,1926,1511172
759,16,17,6718957,1250,241,1,1926,3758
748,16,6,6642997,2643,71,1,1926,3749
783,16,41,8969293,3421,73,1,1931,1960380
779,16,37,6554513,3973,184,1,1939,3799
770,16,28,5349819,1650,137,1,1939,3792
768,16,26,7986832,3973,253,1,1939,3772
747,16,5,6358294,512,258,1,1939,3762
2712,68,12,6445358,2451,131,1,1945,1819605
2723,68,23,5717122,1586,60,1,1955,1658165
2708,68,8,4650880,3414,316,1,1955,3953
1199,28,73,7744384,1576,164,1,1960,4059
1172,28,46,7194634,3209,107,1,1960,1848127
1150,28,24,7391592,1432,366,1,1960,2197962
1147,28,21,8546321,104,83,1,1960,3938
778,16,36,6482373,1995,303,1,1961,3836
775,16,33,5305670,2112,306,1,1961,1586850
751,16,9,7631844,706,237,1,1961,3788
1925,47,0,5553628,3641,335,1,1962,1503211
1909,46,4,7664816,3501,55,1,1962,3844
1202,28,76,5401694,2508,319,1,1970,1433089
1201,28,75,4950293,2986,341,1,1970,1167483
1174,28,48,8357579,2754,85,1,1970,1779272
1171,28,45,5455017,2875,254,1,1970,1598838
1168,28,42,6812814,999,85,1,1970,1899028
1143,28,17,4570060,1976,128,1,1970,960841
1142,28,16,6934740,1358,3,1,1970,3965
1135,28,9,6223441,434,123,1,1970,3973
1134,28,8,7893442,984,253,1,1970,3945
1916,46,11,6548046,1683,299,1,1972,1867539
991,23,25,7377111,1993,23,1,1984,1820898
990,23,24,5911304,342,136,1,1984,3105
989,23,23,7452782,964,105,1,1984,3041
988,23,22,6027063,2581,294,1,1984,3040
985,23,19,8765997,1283,375,1,1984,2277423
984,23,18,7414743,287,365,1,1984,2989
983,23,17,6891908,3543,212,1,1984,1594823
982,23,16,5951342,3352,88,1,1984,3009
980,23,14,8999879,3941,43,1,1984,2368631
979,23,13,5753487,3171,15,1,1984,1618039
977,23,11,7009693,3997,272,1,1984,1789168
976,23,10,7730154,3038,214,1,1984,2108006
975,23,9,5470358,662,15,1,1984,1450124
974,23,8,5109769,530,25,1,1984,1371498
973,23,7,6871396,3132,398,1,1984,2998
972,23,6,8887552,3039,176,1,1984,2429238
