Jobs/JobID_InDB,Jobs/JobID,Jobs/OwnerUserID,Jobs/NodeID_SubmittedOn,Jobs/TimeSubmission,Jobs/TimeDeadLinePrefered,Jobs/TimeDeadlineFinal,Jobs/ListOfTasks,Jobs/LastStatus,Jobs/LastStatusTime,Jobs/JobSizeWithoutAccountForParallelism,Jobs/CountOfEdges,Jobs/CountOfTasks,Jobs/SumOfEdgeWeight,Jobs/MaxEdgeWeight,Jobs/MinEdgeWeight,Jobs/MaxTaskSize,Jobs/MinTaskSize,Jobs/MaxParallelExecutableTasks,Jobs/JobInitSourceTypeID,Jobs/TasksWhichCanRunInParallel,Jobs/MinStorageNeeded,Jobs/TotalStorageNeeded,Jobs/MaxRamNeededForParallelExec,Jobs/MinRamNeeded,Jobs/TotalRamNeeded,Jobs/TaskIDsOfHighestsCPULoadPartOfTheDag,Jobs/MaxRamNeededForParallelExecutionOfHighestCpuLoadPartOfTheDag,Jobs/MinimumPassThrough_MI_withHighestParallelism,Jobs/MinTimeForExecuteDagWithMaxParallelismOnCloud,Jobs/MinTimeForExecuteDagWithMaxParallelismOnFog,Jobs/MinTimeForExecuteDagWithMaxParallelismOnIoT,Jobs/MaxTimeForExecuteDagSerialOnCloud,Jobs/MinTimeForExecuteDagSerialOnFog,Jobs/MinTimeForExecuteDagSerialOnIoT,Jobs/EFT_DAG
44621,10,U672,N_2_of_Clst_0_of_DC_0_of_CP_Lomocom68,7689,8078,8078,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33",InitializedAndWaiting,7689,227074535,50,34,2055,78,5,8936340,4520362,5,3,"[[0],[1],[2,3,6,19,20],[4,10],[5,7],[8,12,16],[9,18],[11],[13,24],[14],[15,25],[17,26],[21],[22],[23],[27],[28],[29],[30],[31],[32],[33]]",15,6357,0,66,68836,"[2,3,6,19,20]",6999,154010834,65.3696,293.5961,3111.33,96.3814,432.8799,4587.3643,7928
44622,11,O698,N_3_of_Clst_0_of_DC_0_of_CP_Lomocom68,9239,9594,9594,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28",InitializedAndWaiting,9239,209987674,41,29,1749,75,3,8968521,4636319,3,3,"[[0],[1],[2],[3,9],[4],[5,13],[6,10,12],[7,19],[8],[11,21],[14],[15,20,24],[16],[17],[18],[22],[23],[25],[26],[27],[28]]",2,6183,0,64,61729,"[6,10,12]",5299,155203058,65.8757,295.8689,3135.4153,89.1289,400.3067,4242.1752,9444
44623,12,A534,JX510,9660,10001,10001,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37",InitializedAndWaiting,9660,252563758,56,38,2268,79,4,8679593,4556883,8,1,"[[0],[1,3],[2,4,5,6,9,16,23,32],[7,8,10,11,18,21],[12,17,31],[13],[14,34],[15],[19,30,33],[20],[22],[24],[25,26],[27],[28],[29],[35],[36],[37]]",2,7015,0,207,74538,"[2,4,5,6,9,16,23,32]",19818,134139617,56.9353,255.7149,2709.8913,107.2002,481.4709,5102.2981,9851
44624,13,M173,N_2_of_Clst_1_of_DC_0_of_CP_Lomocom68,277,667,667,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72",InitializedAndWaiting,277,484810671,108,73,4683,79,3,8994043,4502014,11,3,"[[0],[1],[2,3,5,7,15,16],[4],[6,9,10,11,17,20,21,52],[8,12,13,14,24,26,34,35,36,41,53],[18,22,38,39,47],[19,64,67],[23,37,42,54],[25,30],[27,48],[28,32,59],[29,58],[31,69],[33,40,49],[43],[44],[45],[46],[50],[51,60],[55,57],[56],[61,62],[63],[65],[66],[68],[70],[71],[72]]",2,14116,0,32,157849,"[8,12,13,14,24,26,34,35,36,41,53]",26989,220414966,93.5547,420.1846,4452.8276,205.777,924.2112,9794.155,517
44625,14,U279,TM197,378,796,796,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39",InitializedAndWaiting,378,290230067,56,40,2381,80,4,8934083,4501031,6,1,"[[0],[1,5],[2,3,6],[4,7,8,9,11,22],[10,12,18],[13,19,25],[14,17,28,34],[15],[16,26],[20],[21,23,37],[24],[27],[29],[30],[31],[32],[33],[35],[36],[38],[39]]",3,8873,0,261,85940,"[4,7,8,9,11,22]",9764,169593057,71.9835,323.301,3426.1224,123.1876,553.2755,5863.2337,646
44626,15,M424,N_0_of_FP_0_of_Jackolicom45,531,837,837,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",InitializedAndWaiting,531,306392672,67,46,2542,79,3,8935122,4597954,8,2,"[[0],[1,2,7],[3,6,9,10,14,15],[4,8,11,16,18,19,24,37],[5],[12,17,25],[13,22,29,31],[20,30],[21,23],[26,34,41,43],[27],[28],[32,33],[35,36,40],[38,39],[42],[44],[45]]",3,8213,0,67,92932,"[4,8,11,16,18,19,24,37]",15632,130820947,55.5267,249.3884,2642.8474,130.0478,584.0868,6189.7509,687
44627,16,L236,N_2_of_FP_0_of_Jackolicom45,1806,2161,2161,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47",InitializedAndWaiting,1806,313331477,73,48,3267,80,4,8969293,4508847,6,2,"[[0],[1,2,4,29],[3,5,6,8,13,24],[7,21,28,35],[9,10,11,14,16,19],[12,20],[15,22,23,32],[17,26],[18,33],[25],[27,36],[30,39],[31],[34],[37],[38],[40,43],[41,45],[42],[44],[46],[47]]",20,9396,0,123,85375,"[9,10,11,14,16,19]",4943,157416064,66.815,300.0876,3180.1225,132.993,597.3145,6329.9288,2011
44628,17,C677,N_0_of_Clst_1_of_DC_0_of_CP_Lomocom68,2082,2394,2394,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",InitializedAndWaiting,2082,210391417,46,33,1625,78,3,8878805,4639050,3,3,"[[0],[1,2],[3,4,5],[6],[7,13,22],[8,19],[9,16],[10,27,28],[11],[12],[14,18],[15,20,24],[17],[21],[23],[25],[26],[29],[30],[31],[32]]",10,7296,0,76,74839,"[3,4,5]",7351,139287923,59.1205,265.5293,2813.8974,89.3003,401.0763,4250.3317,2244
44629,18,J648,N_1_of_Clst_0_of_DC_0_of_CP_Lomocom68,3968,4265,4265,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",InitializedAndWaiting,3968,111913480,24,17,1077,79,5,8592810,4576320,4,3,"[[0],[1],[2,3,4,6],[5,13],[7],[8],[9],[10],[11],[12],[14],[15],[16]]",9,3001,0,185,28387,"[2,3,4,6]",1988,85416918,36.2551,162.8332,1725.5943,47.5015,213.3445,2260.8784,4115
44630,19,N750,N_1_of_FP_0_of_Jackolicom45,4780,5176,5176,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63",InitializedAndWaiting,4780,414035353,93,64,4027,80,5,8966962,4551197,6,2,"[[0],[1,12],[2,4,18,44,45],[3,8],[5,38],[6,21],[7,22,27,30,58],[9,25,33,41],[10,11,15,31],[13,14,16,24,51,55],[17,26,35,39],[19,23],[20,43],[28,29],[32,46],[34],[36],[37],[40],[42,47],[48],[49],[50],[52],[53],[54,59],[56],[57],[60],[61],[62],[63]]",4,11841,0,39,122714,"[13,14,16,24,51,55]",15778,223799375,94.9912,426.6364,4521.1995,175.7366,789.2897,8364.3506,5026
44631,20,E884,N_1_of_Clst_1_of_DC_0_of_CP_Lomocom68,2703,2981,2981,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",InitializedAndWaiting,2703,98352258,22,15,971,78,4,8965873,4858810,5,3,"[[0],[1,2],[3,4,5,6,10],[7],[8,9],[11,12],[13],[14]]",58,3295,0,341,28458,"[3,4,5,6,10]",9762,55806886,23.6871,106.3866,1127.4118,41.7454,187.4923,1986.9143,2831
44632,21,D345,N_0_of_Clst_1_of_DC_0_of_CP_Lomocom68,4886,5167,5167,"0,1,2,3,4,5,6,7,8,9,10",InitializedAndWaiting,4886,80400402,15,11,625,76,5,8777364,4693853,3,3,"[[0],[1,2],[3,4],[5,6,7],[8],[9],[10]]",75,2032,0,23,20071,"[5,6,7]",3495,53179640,22.572,101.3782,1074.3362,34.1258,153.27,1624.2505,5017
44633,22,H268,N_3_of_Clst_1_of_DC_0_of_CP_Lomocom68,1752,2106,2106,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35",InitializedAndWaiting,1752,236044426,51,36,1992,76,4,8839424,4548827,5,3,"[[0],[1,2],[3,4,5,10],[6,24],[7,8,11,16,30],[9,13,14],[12],[15],[17],[18],[19,34],[20],[21],[22],[23],[25],[26,28],[27],[29,32],[31],[33],[35]]",4,7457,0,181,73261,"[7,8,11,16,30]",10825,151795860,64.4295,289.3736,3066.583,100.1886,449.9796,4768.5743,1956
44634,23,V835,N_2_of_Clst_0_of_DC_0_of_CP_Lomocom68,992,1285,1285,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",InitializedAndWaiting,992,187010620,37,26,1407,75,4,8999879,5109769,3,3,"[[0],[1,4,18],[2],[3,5,7],[6],[8],[9,11,13],[10,19],[12,17],[14,15],[16],[20],[21],[22,23],[24],[25]]",15,5250,0,32,54745,"[3,5,7]",5584,118374061,50.2437,225.6605,2391.3952,79.3763,356.5047,3777.9923,1135
44635,24,X622,N_3_of_Clst_1_of_DC_0_of_CP_Lomocom68,6498,6905,6905,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",InitializedAndWaiting,6498,329170605,72,50,2952,78,3,8916614,4503466,5,3,"[[0],[1],[2],[3,39],[4,5],[6,7,8,16],[9,14,17,24,31],[10,12,21,23,36],[11,29,38],[13,25,27],[15,19,40],[18],[20],[22,32,34],[26],[28],[30],[33,35,43],[37],[41],[42],[44],[45],[46,47],[48],[49]]",13,10654,0,28,109429,"[10,12,21,23,36]",11804,180110925,76.4478,343.3516,3638.6045,139.7159,627.5092,6649.9112,6755
44636,25,V561,N_1_of_Clst_1_of_DC_0_of_CP_Lomocom68,7484,7741,7741,"0,1,2,3,4,5,6,7",InitializedAndWaiting,7484,46935097,9,8,322,58,13,8506016,4551070,2,3,"[[0],[1],[2,3],[4],[5],[6],[7]]",11,1656,0,721,15299,"[2,3]",2003,41855743,17.7656,79.791,845.5706,19.9215,89.474,948.1838,7591
44637,26,S841,N_0_of_Clst_1_of_DC_0_of_CP_Lomocom68,125,489,489,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62",InitializedAndWaiting,125,437076155,91,63,3385,79,5,8951703,4635678,8,3,"[[0],[1,2,20],[3,4,27],[5,6,7,8,9,12],[10,11,13,14,15,21,26,30],[16,24,25,28,45,57],[17,23,29,31,37,46],[18],[19,49],[22,32,33],[34,39],[35,40,44,48,50],[36,43],[38,55],[41,51],[42],[47],[52,59],[53],[54],[56],[58],[60],[61],[62]]",7,14115,0,76,126941,"[10,11,13,14,15,21,26,30]",17893,188622942,80.0607,359.5784,3810.5645,185.5162,833.2132,8829.8213,339
44638,27,J838,N_1_of_Clst_1_of_DC_0_of_CP_Lomocom68,5050,5358,5358,"0,1,2,3,4,5,6,7,8,9,10,11,12",InitializedAndWaiting,5050,89944224,17,13,767,78,9,8665830,4519284,3,3,"[[0],[1,4,5],[2],[3],[6],[7],[8],[9],[10],[11],[12]]",141,3371,0,344,28057,"[1,4,5]",7094,76962437,32.6666,146.7161,1554.7967,38.1767,171.4637,1817.055,5208
44639,28,J155,N_0_of_Clst_1_of_DC_0_of_CP_Lomocom68,1948,2286,2286,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76",InitializedAndWaiting,1948,507477019,120,77,4860,80,3,8968688,4556912,9,3,"[[0],[1,3],[2,4,5,6,13,25,33],[7,24,27,38,40,46,49],[8,10,11,14,15,26,44,54,57],[9,18,28,32,37,56],[12,19,21,23,42],[16,20,35,41,45],[17,22,29,34,53],[30,39,43,65],[31,48,60,61],[36],[47,67],[50],[51,59,70],[52,66],[55,64],[58],[62,69,72],[63],[68],[71],[73],[74],[75],[76]]",3,14531,0,37,164593,"[8,10,11,14,15,26,44,54,57]",17397,192810366,81.838,367.561,3895.1589,215.3977,967.4208,10252.061,2136
44640,29,J283,JX510,9674,9991,9991,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",InitializedAndWaiting,9674,101254946,19,15,857,80,3,8949293,4608468,2,1,"[[0],[1,2],[3],[4,8],[5,7],[6],[9,10],[11,12],[13],[14]]",16,2816,0,466,30170,"[1,2]",2899,71831797,30.4889,136.9354,1451.1474,42.9775,193.0258,2045.5545,9841
44641,30,V393,N_1_of_Clst_1_of_DC_0_of_CP_Lomocom68,7265,7593,7593,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41",InitializedAndWaiting,7265,275684534,59,42,2362,78,6,8675482,4687794,5,3,"[[0],[1,2],[3,4,10,13,15],[5,6,12,17,27],[7,8],[9,11,30],[14],[16],[18,28],[19,23,33],[20],[21,22],[24],[25,26,29],[31],[32],[34],[35],[36],[37],[38],[39],[40],[41]]",7,8061,0,21,72714,"[3,4,10,13,15]",5058,165513925,70.2521,315.5249,3343.7157,117.0138,525.5468,5569.3845,7443
44642,31,K295,N_3_of_Clst_0_of_DC_0_of_CP_Lomocom68,4561,4958,4958,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73",InitializedAndWaiting,4561,488915909,107,74,4423,80,4,8956209,4577197,10,3,"[[0],[1,2,3,5,26],[4,6,7,9,11,12,15,28,36,52],[8,14,16,25,35,37],[10,17],[13,33,59],[18,30,51],[19,47],[20,24],[21,23,29,34,39,40,43,45],[22,42,49,57,60,62,63],[27],[31,53],[32],[38,44,50,56],[41],[46,48],[54],[55],[58],[61],[64,66],[65],[67,68],[69],[70],[71],[72],[73]]",2,13846,0,224,146258,"[4,6,7,9,11,12,15,28,36,52]",21285,205956064,87.4177,392.6211,4160.7286,207.5195,932.0371,9877.0891,4808
44643,32,M299,N_1_of_FP_0_of_Jackolicom45,7344,7662,7662,"0,1,2,3,4,5,6,7,8,9",InitializedAndWaiting,7344,68921071,12,10,567,79,9,8672457,4611878,1,2,"[[0],[1],[2],[3],[4],[5],[6],[7],[8],[9]]",13,1856,0,1355,24799,[7],1355,68921071,29.2534,131.3866,1392.3449,29.2534,131.3866,1392.3449,7512
44644,33,T356,N_0_of_Clst_1_of_DC_0_of_CP_Lomocom68,8435,8833,8833,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65",InitializedAndWaiting,8435,428008937,94,66,4338,79,5,8975022,4511080,7,3,"[[0],[1,4,17,32],[2,3,12,24],[5,6,14,16,18,21,29],[7,13],[8,22,23,26,30,62],[9,40],[10,36],[11],[15,28],[19,49],[20,34,51],[25],[27],[31,44,59],[33,41],[35],[37,58],[38,42],[39],[43],[45],[46,54],[47,57],[48,60],[50],[52,55],[53],[56,64],[61],[63],[65]]",5,13621,0,94,152320,"[5,6,14,16,18,21,29]",15025,223830359,95.0044,426.6955,4521.8254,181.6676,815.9281,8646.6452,8683
44645,34,I728,JX510,5228,5527,5527,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22",InitializedAndWaiting,5228,164043718,32,23,1287,78,5,8833697,5561175,3,1,"[[0],[1,2],[3,4],[5],[6],[7,8,9],[10,11,15],[12],[13],[14],[16],[17,20],[18],[19],[21],[22]]",19,5895,0,235,55075,"[7,8,9]",7096,118448222,50.2751,225.8019,2392.8934,69.6281,312.7221,3314.0145,5377
44646,35,A856,N_1_of_Clst_0_of_DC_0_of_CP_Lomocom68,4760,5194,5194,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71",InitializedAndWaiting,4760,464549997,110,72,4648,79,5,8880041,4533005,10,3,"[[0],[1,4,20],[2,3,11,12,13,15,24,38],[5,6,7,8,19,22,29,30,32,43],[9,26,45,46],[10,14,16,23,25,27,37,47,53],[17,18,21,34,41,51],[28,48,55],[31,40,42,49,59],[33,35,52],[36,39],[44,62],[50,56],[54,57],[58],[60],[61],[63],[64],[65],[66],[67],[68],[69],[70],[71]]",5,14214,0,23,143751,"[5,6,7,8,19,22,29,30,32,43]",18933,181604380,77.0817,346.1986,3668.7754,197.1774,885.5875,9384.8484,5044
